[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
49.4,1125.925,2.4565,245.65,611.018,0
49.5,1126.532,2.4615,246.15,611.347,0
49.6,1126.682,2.4665,246.65,611.429,0
49.7,1126.685,2.471,247.1,611.43,0
49.8,1127.301,2.4765,247.65,611.765,0
49.9,1127.449,2.481,248.1,611.845,0
50,1127.673,2.486,248.6,611.967,0
50.1,1128.42,2.491,249.1,612.372,0
50.2,1128.684,2.496,249.6,612.515,0
50.3,1128.961,2.501,250.1,612.666,0
50.4,1129.746,2.506,250.6,613.091,0
50.5,1129.824,2.511,251.1,613.134,0
50.6,1130.376,2.5165,251.65,613.433,0
50.7,1130.49,2.5215,252.15,613.495,0
50.8,1130.655,2.5265,252.65,613.585,0
50.9,1131.477,2.532,253.2,614.031,0
51,1131.179,2.5365,253.65,613.869,0
51.1,1131.633,2.5415,254.15,614.116,0
51.2,1132.227,2.547,254.7,614.438,0
51.3,1132.12,2.5515,255.15,614.38,0
51.4,1132.195,2.5565,255.65,614.42,0
51.5,1132.894,2.561,256.1,614.8,0
51.6,1132.759,2.566,256.6,614.727,0
51.7,1133.052,2.571,257.1,614.885,0
51.8,1133.664,2.576,257.6,615.218,0
51.9,1133.885,2.581,258.1,615.338,0
52,1134.326,2.586,258.6,615.577,0
52.1,1134.85,2.591,259.1,615.862,0
52.2,1134.965,2.596,259.6,615.924,0
52.3,1135.701,2.6015,260.15,616.323,0
52.4,1135.623,2.6065,260.65,616.281,0
52.5,1135.921,2.6115,261.15,616.443,0
52.6,1136.423,2.6165,261.65,616.715,0
52.7,1136.199,2.6215,262.15,616.593,0
52.8,1136.515,2.6265,262.65,616.765,0
52.9,1137.177,2.6315,263.15,617.124,0
53,1136.845,2.636,263.6,616.944,0
53.1,1137.303,2.641,264.1,617.193,0
53.2,1137.706,2.646,264.6,617.411,0
53.3,1137.631,2.651,265.1,617.371,0
53.4,1138.365,2.656,265.6,617.769,0
53.5,1138.544,2.661,266.1,617.866,0
53.6,1138.799,2.666,266.6,618.005,0
53.7,1139.636,2.671,267.1,618.459,0
53.8,1139.518,2.676,267.6,618.395,0
53.9,1139.851,2.6815,268.15,618.575,0
54,1140.472,2.6865,268.65,618.912,0
54.1,1140.244,2.6915,269.15,618.789,0
54.2,1140.714,2.697,269.7,619.044,0
54.3,1141.131,2.7015,270.15,619.27,0
54.4,1140.789,2.7065,270.65,619.085,0
54.5,1141.609,2.712,271.2,619.529,0
54.6,1141.607,2.7165,271.65,619.529,0
54.7,1141.295,2.7215,272.15,619.359,0
54.8,1141.991,2.7265,272.65,619.737,0
54.9,1142.024,2.731,273.1,619.755,0
55,1142.006,2.736,273.6,619.745,0
55.1,1142.915,2.741,274.1,620.238,0
55.2,1142.883,2.746,274.6,620.221,0
55.3,1143.299,2.751,275.1,620.446,0
55.4,1143.855,2.756,275.6,620.748,0
55.5,1143.774,2.761,276.1,620.704,0
55.6,1144.441,2.7665,276.65,621.066,0
55.7,1144.604,2.7715,277.15,621.155,0
55.8,1144.374,2.7765,277.65,621.03,0
55.9,1145.337,2.782,278.2,621.553,0
56,1145.152,2.7865,278.65,621.452,0
56.1,1145.086,2.7915,279.15,621.416,0
56.2,1145.789,2.797,279.7,621.798,0
56.3,1145.335,2.8015,280.15,621.551,0
56.4,1145.695,2.8065,280.65,621.747,0
56.5,1146.273,2.8115,281.15,622.061,0
56.6,1146.067,2.816,281.6,621.949,0
56.7,1146.243,2.821,282.1,622.044,0
56.8,1146.931,2.826,282.6,622.418,0
56.9,1146.981,2.831,283.1,622.445,0
57,1147.55,2.8365,283.65,622.754,0
57.1,1147.943,2.8415,284.15,622.967,0
57.2,1148.019,2.8465,284.65,623.008,0
57.3,1148.486,2.852,285.2,623.261,0
57.4,1148.403,2.857,285.7,623.217,0
57.5,1148.451,2.862,286.2,623.242,0
57.6,1149.143,2.867,286.7,623.618,0
57.7,1148.725,2.872,287.2,623.391,0
57.8,1149.261,2.877,287.7,623.682,0
57.9,1149.538,2.882,288.2,623.832,0
58,1149.16,2.8865,288.65,623.627,0
58.1,1149.714,2.892,289.2,623.928,0
58.2,1149.882,2.8965,289.65,624.019,0
58.3,1149.838,2.9015,290.15,623.995,0
58.4,1150.403,2.9065,290.65,624.302,0
58.5,1150.636,2.9115,291.15,624.428,0
58.6,1150.734,2.9165,291.65,624.481,0
58.7,1151.337,2.9215,292.15,624.808,0
58.8,1151.225,2.9265,292.65,624.748,0
58.9,1151.662,2.932,293.2,624.985,0
59,1152.12,2.937,293.7,625.233,0
59.1,1151.936,2.942,294.2,625.134,0
59.2,1152.346,2.947,294.7,625.356,0
59.3,1152.374,2.952,295.2,625.371,0
59.4,1152.172,2.957,295.7,625.262,0
59.5,1152.928,2.9625,296.25,625.672,0
59.6,1153.005,2.967,296.7,625.714,0
59.7,1152.599,2.972,297.2,625.493,0
59.8,1153.354,2.977,297.7,625.903,0
59.9,1153.172,2.9815,298.15,625.804,0
60,1153.262,2.9865,298.65,625.853,0
